kind,a,b,c,d,e,f,g,h,i
btb_header,spacing,n,cycles_per_branch,mis_per_branch,l1i_refill_per_branch,stall_frontend_per_branch,itlb_walk_per_branch
btb,256,192,2.5118,0.00000,0.00022,1.5117,0.00000
btb,256,256,2.5720,0.00000,0.01971,1.5723,0.00000
btb,256,384,6.4983,0.00000,0.99750,5.4982,0.00000
btb,256,512,6.4668,0.00000,0.99827,5.4667,0.00000
btb,256,768,6.5604,0.00173,1.00661,5.5521,0.00000
btb,256,1024,13.3797,0.00157,1.78152,12.3741,0.00000
btb,256,1536,21.7760,0.00117,2.86826,20.7719,0.00000
btb,256,2048,29.6343,0.00093,4.02741,28.6312,0.00000
btb,256,3072,39.9781,0.00061,5.32677,38.9758,0.00000
btb,256,4096,45.0920,0.00046,5.80035,44.0902,0.00000
btb,256,6144,49.5173,0.00031,6.15181,48.5161,0.00000
btb,256,8192,57.5525,0.00024,6.31542,56.5515,0.00000
btb,256,12288,122.3402,0.00016,5.90123,121.3394,0.00000
btb,256,16384,170.7541,0.00012,6.14603,169.7535,0.00000
btb,256,24576,208.8011,0.00008,6.44953,207.8005,0.00001
btb,256,32768,226.6427,0.00006,6.62080,225.6421,0.00003
pattern_header,period,mis_per_branch,cycles_per_iter
pattern,1,0.00001,2.0020
pattern,2,0.00001,3.5006
pattern,3,0.00001,2.6673
pattern,4,0.00001,2.2507
pattern,6,0.00001,2.0021
pattern,8,0.00001,2.6256
pattern,12,0.00001,2.6673
pattern,16,0.00001,2.3756
pattern,24,0.00001,2.3756
pattern,32,0.00001,2.8131
pattern,48,0.00001,2.5007
pattern,64,0.00002,2.5475
pattern,96,0.00002,2.3757
pattern,128,0.00002,2.4069
pattern,192,0.00002,2.5318
pattern,256,0.00002,2.5046
pattern,384,0.00652,2.5972
pattern,512,0.01174,2.6631
pattern,768,0.01738,2.7095
pattern,1024,0.03623,2.9741
pattern,1536,0.05614,3.3351
pattern,2048,0.05332,3.2851
pattern,3072,0.07203,3.5334
pattern,4096,0.23214,5.7743
pattern,6144,0.32507,7.0661
pattern,8192,0.37965,7.8075
pattern,12288,0.42724,8.4450
pattern,16384,0.45766,8.8581
pattern,32768,0.47866,9.1354
pattern,65536,0.48979,9.2946
corr_header,variant,k,mis_per_iter,final_branch_rate,l1i_refill_per_iter,stall_frontend_per_iter
corr,taken,1,0.50192,0.00192,0.00000,2.191
corr,taken,2,0.50217,0.00217,0.00003,4.137
corr,taken,3,0.49907,-0.00093,0.00003,3.624
corr,taken,4,0.50168,0.00168,0.00006,4.090
corr,taken,6,0.49937,-0.00063,0.00006,3.987
corr,taken,8,0.50081,0.00081,0.00011,3.563
corr,taken,12,0.49850,-0.00150,0.00012,2.966
corr,taken,16,0.50000,0.00000,0.00012,9.255
corr,taken,24,0.50110,0.00110,0.00027,24.211
corr,taken,32,0.50005,0.00005,0.00032,34.438
corr,taken,48,0.50053,0.00053,0.00046,50.370
corr,taken,64,0.50079,0.00079,0.00058,66.441
corr,taken,96,0.50066,0.00066,0.00076,144.795
corr,taken,128,0.50124,0.00124,0.00110,194.449
corr,taken,192,0.50137,0.00137,0.00156,291.238
corr,taken,256,0.50302,0.00302,0.00217,387.112
corr,taken,384,0.50137,0.00137,0.00388,579.376
corr,taken,512,0.50374,0.00374,0.00549,771.061
corr,taken,768,0.50555,0.00555,0.00975,1155.077
corr,taken,1024,0.50748,0.00748,0.01401,1539.527
corr,taken,1536,0.51231,0.01231,0.03520,2308.102
corr,taken,2048,0.51961,0.01961,0.07520,3075.806
corr,taken,2304,1.02364,0.52364,0.12474,3462.921
corr,taken,2560,1.02881,0.52881,0.17139,3845.432
corr,taken,2816,1.03941,0.53941,0.24814,4229.802
corr,taken,3072,1.03653,0.53653,0.32109,4616.450
corr,taken,4096,1.07799,0.57799,5.93311,6173.001
corr,taken,6144,45.78162,45.28162,1537.90628,15435.668
corr,nottaken,1,0.50227,0.00227,0.00000,2.195
corr,nottaken,2,0.50970,0.00970,0.00003,3.026
corr,nottaken,3,0.66760,0.16760,0.00003,2.033
corr,nottaken,4,0.54094,0.04094,0.00005,1.953
corr,nottaken,6,0.50575,0.00575,0.00006,1.168
corr,nottaken,8,0.57182,0.07182,0.00015,0.982
corr,nottaken,12,0.64174,0.14174,0.00012,0.932
corr,nottaken,16,0.51799,0.01799,0.00012,0.666
corr,nottaken,24,0.51076,0.01076,0.00040,0.648
corr,nottaken,32,0.52521,0.02521,0.00044,0.682
corr,nottaken,48,0.51167,0.01167,0.00052,0.652
corr,nottaken,64,0.52763,0.02763,0.00055,0.687
corr,nottaken,96,0.52519,0.02519,0.00072,0.685
corr,nottaken,128,0.52893,0.02893,0.00113,0.727
corr,nottaken,192,0.52322,0.02322,0.00156,0.717
corr,nottaken,256,0.52571,0.02571,0.00221,1.010
corr,nottaken,384,0.52559,0.02559,0.00346,1.014
corr,nottaken,512,0.52333,0.02333,0.00481,1.008
corr,nottaken,768,0.52165,0.02165,0.00728,1.016
corr,nottaken,1024,0.52104,0.02104,0.01004,1.020
corr,nottaken,1536,0.52179,0.02179,0.02292,1.083
corr,nottaken,2048,0.51883,0.01883,0.03725,1.102
corr,nottaken,2304,0.52359,0.02359,0.05562,1.126
corr,nottaken,2560,0.51994,0.01994,0.08032,1.165
corr,nottaken,2816,0.52060,0.02060,0.10686,1.217
corr,nottaken,3072,0.52049,0.02049,0.14244,1.257
corr,nottaken,4096,0.52032,0.02032,5.39307,5.979
corr,nottaken,6144,0.52797,0.02797,1537.00148,3079.163
corr,control,1,1.00114,0.50114,0.00003,5.008
corr,control,2,1.00098,0.50098,0.00006,6.144
corr,control,3,1.00089,0.50089,0.00003,4.946
corr,control,4,1.00084,0.50084,0.00006,5.362
corr,control,6,1.00067,0.50067,0.00009,5.015
corr,control,8,1.00084,0.50084,0.00012,4.616
corr,control,12,1.00150,0.50150,0.00009,4.407
corr,control,16,1.00180,0.50180,0.00015,12.250
corr,control,24,0.99985,0.49985,0.00027,25.387
corr,control,32,1.00053,0.50053,0.00034,35.393
