op,threads,size_per_thread_bytes,total_bytes,n_valid,gbps_median,gbps_mad,gbps_ci95_lo,gbps_ci95_hi,gbps_per_thread,bytes_per_cycle,l1d_refill_per_kib,l2d_refill_per_kib,l3d_refill_per_kib,bus_access_per_kib
read,3,4194304,12582912,30,13.1561,0.0844,13.1227,13.1935,4.38536,,,,,
read,3,8388608,25165824,30,13.1879,0.1145,13.0949,13.2473,4.39596,,,,,
read,3,33554432,100663296,30,12.8771,0.0731,12.8347,12.9270,4.29237,,,,,
read,3,134217728,402653184,30,12.7919,0.0348,12.7711,12.8200,4.26398,,,,,
read,3,268435456,805306368,30,12.8135,0.0397,12.7679,12.8342,4.27116,,,,,
write,3,16384,49152,30,114.3032,0.1018,114.2630,114.3549,38.10107,,,,,
write,3,32768,98304,30,114.4970,0.1869,114.3769,114.6350,38.16568,,,,,
write,3,65536,196608,30,81.2881,15.7327,75.8761,92.2399,27.09602,,,,,
write,3,131072,393216,30,45.8307,2.8059,43.7725,47.6535,15.27691,,,,,
write,3,262144,786432,30,25.9212,1.9331,24.3055,26.9056,8.64040,,,,,
write,3,393216,1179648,30,21.0009,0.8981,20.5758,21.5204,7.00031,,,,,
write,3,524288,1572864,30,19.1414,0.5073,18.7703,19.5260,6.38046,,,,,
write,3,1048576,3145728,30,14.6136,0.3141,14.3439,14.7454,4.87119,,,,,
write,3,1572864,4718592,30,12.1784,0.3270,11.8095,12.3939,4.05946,,,,,
write,3,2097152,6291456,30,12.1311,0.1384,12.0801,12.2290,4.04370,,,,,
write,3,4194304,12582912,30,10.6129,0.2587,10.5205,10.8636,3.53765,,,,,
write,3,8388608,25165824,30,10.3339,0.1703,10.2074,10.3951,3.44463,,,,,
write,3,33554432,100663296,30,9.7229,0.1925,9.6349,9.8678,3.24096,,,,,
write,3,134217728,402653184,30,9.6867,0.1170,9.6345,9.7579,3.22888,,,,,
write,3,268435456,805306368,30,9.6284,0.1106,9.5848,9.7447,3.20946,,,,,
copy,3,16384,49152,30,222.6380,0.4191,222.2886,222.8505,74.21267,,,,,
copy,3,32768,98304,30,225.2652,0.6044,224.6949,225.6345,75.08840,,,,,
copy,3,65536,196608,30,198.6685,7.5373,191.0522,203.3469,66.22284,,,,,
copy,3,131072,393216,30,91.6197,13.4747,80.2651,96.8511,30.53990,,,,,
copy,3,262144,786432,30,67.8063,9.5021,61.2395,77.4560,22.60210,,,,,
copy,3,393216,1179648,30,45.4817,4.8566,41.9414,47.5217,15.16056,,,,,
copy,3,524288,1572864,30,43.9740,3.3502,41.2440,46.1457,14.65799,,,,,
copy,3,1048576,3145728,30,20.7143,1.8751,19.5800,22.7189,6.90475,,,,,
copy,3,1572864,4718592,30,12.1015,0.1525,12.0309,12.2450,4.03385,,,,,
copy,3,2097152,6291456,30,10.0972,0.1552,9.9833,10.2025,3.36572,,,,,
copy,3,4194304,12582912,30,8.4277,0.0821,8.3743,8.4642,2.80922,,,,,
copy,3,8388608,25165824,30,8.0120,0.0711,7.9305,8.0240,2.67068,,,,,
copy,3,33554432,100663296,30,7.6589,0.0647,7.6173,7.6912,2.55297,,,,,
copy,3,134217728,402653184,30,7.6264,0.0585,7.6064,7.6704,2.54212,,,,,
copy,3,268435456,805306368,30,7.6106,0.0569,7.5931,7.6572,2.53686,,,,,
read,4,16384,65536,30,300.9304,0.5163,300.2758,301.3621,75.23259,,,,,
read,4,32768,131072,30,233.6357,0.6854,233.1846,233.9732,58.40893,,,,,
read,4,65536,262144,30,238.2005,0.6486,237.6218,238.5844,59.55013,,,,,
read,4,131072,524288,30,175.7405,0.5379,175.4656,176.0313,43.93512,,,,,
read,4,262144,1048576,30,173.2443,0.9877,172.5477,173.7613,43.31106,,,,,
read,4,393216,1572864,30,127.6127,16.7705,118.4393,139.2960,31.90317,,,,,
read,4,524288,2097152,30,28.9480,0.4334,28.7590,30.7479,7.23700,,,,,
read,4,1048576,4194304,30,16.0909,0.1994,16.0546,16.3843,4.02272,,,,,
read,4,1572864,6291456,30,14.6640,0.0879,14.6232,14.8192,3.66599,,,,,
read,4,2097152,8388608,30,14.6270,0.2943,14.3706,14.7346,3.65675,,,,,
read,4,4194304,16777216,30,13.5971,0.0363,13.5640,13.6172,3.39927,,,,,
read,4,8388608,33554432,30,12.7405,0.0537,12.7047,12.7635,3.18513,,,,,
read,4,33554432,134217728,30,12.3679,0.0386,12.3414,12.3922,3.09198,,,,,
read,4,134217728,536870912,30,12.3941,0.0394,12.3575,12.4045,3.09852,,,,,
read,4,268435456,1073741824,30,12.4217,0.0408,12.4086,12.4377,3.10544,,,,,
write,4,16384,65536,30,152.3046,0.1372,152.2418,152.4087,38.07615,,,,,
write,4,32768,131072,30,151.9604,1.1308,113.1301,152.6036,37.99009,,,,,
write,4,65536,262144,30,81.4363,6.6742,75.7229,83.5358,20.35906,,,,,
write,4,131072,524288,30,39.4810,1.8016,38.6219,40.8767,9.87026,,,,,
write,4,262144,1048576,30,24.8618,1.1748,24.0589,25.6281,6.21546,,,,,
write,4,393216,1572864,30,19.5404,1.1129,18.2676,20.1430,4.88511,,,,,
write,4,524288,2097152,30,17.3802,0.6790,16.9055,17.8590,4.34505,,,,,
write,4,1048576,4194304,30,13.0735,0.2074,12.9433,13.2264,3.26838,,,,,
write,4,1572864,6291456,30,11.8017,0.2791,11.4912,11.8957,2.95043,,,,,
write,4,2097152,8388608,30,11.2242,0.1010,11.1520,11.2990,2.80606,,,,,
write,4,4194304,16777216,30,10.1829,0.2215,9.9967,10.3174,2.54573,,,,,
write,4,8388608,33554432,30,9.6902,0.2169,9.5504,9.8421,2.42255,,,,,
write,4,33554432,134217728,30,9.3655,0.1295,9.3452,9.5085,2.34137,,,,,
write,4,134217728,536870912,30,9.3166,0.1563,9.2119,9.3761,2.32915,,,,,
write,4,268435456,1073741824,30,9.2797,0.1085,9.2425,9.3404,2.31992,,,,,
copy,4,16384,65536,30,296.4318,0.8831,295.2020,296.8613,74.10796,,,,,
copy,4,32768,131072,30,286.8912,13.5096,267.8206,292.6609,71.72279,,,,,
copy,4,65536,262144,30,174.2089,21.9397,156.0177,193.7090,43.55223,,,,,
copy,4,131072,524288,30,92.6665,13.3974,87.1692,102.4668,23.16663,,,,,
