kind,a,b,c,d,e,f,g,h,i,j,k
stride_header,region,stride_lines,ns,cycles,ratio_vs_random,l1r,l2r,l3r,llmiss,bus,walk
stride,DRAM,64,102.8976,246.737,0.9337,0.99995,1.00108,1.21572,1.21572,9.7716,0.23711
stride,DRAM,96,103.4226,247.879,0.9384,0.99995,1.00294,1.28953,1.28953,10.3657,0.35645
stride,DRAM,128,103.5753,248.371,0.9398,0.99995,1.00105,1.20006,1.20006,9.6544,0.47667
stride,DRAM,256,105.9385,254.023,0.9612,0.99996,1.00108,1.17935,1.17935,9.5262,0.94053
stride,DRAM,512,112.1704,269.008,1.0178,0.99997,1.00200,1.21492,1.21492,9.8527,0.97256
stride,DRAM,1024,112.4717,269.673,1.0205,0.99997,1.00385,1.34006,1.34006,10.9280,0.98998
stride,DRAM,4096,112.7376,270.255,1.0229,0.99997,1.00714,1.23325,1.23325,10.4065,0.97945
stride,DRAM,-1,4.6439,11.113,0.0421,0.86971,0.92789,0.98286,0.98286,8.0000,0.00382
stride,DRAM,-2,26.1885,62.722,0.2376,0.95532,0.28259,1.02074,1.02074,8.8335,0.00750
stride,DRAM,-4,31.1595,74.698,0.2827,0.79720,0.34349,1.00274,1.00274,8.8408,0.01436
stride,DRAM,-8,28.1303,67.400,0.2552,0.70679,0.36359,1.02692,1.02692,8.2646,0.02891
stride,DRAM,-16,13.3203,31.921,0.1209,0.82864,0.29025,1.04435,1.04435,8.4655,0.05806
stride,DRAM,-64,103.0125,247.012,0.9347,0.99995,1.00097,1.19925,1.19925,9.6252,0.23610
stride,DRAM,random,110.2091,264.195,1.0000,0.99997,1.00832,1.15809,1.15809,9.4486,0.69271
streams_header,S,ns,ratio_vs_random,bus,l2r,ll
streams,1,3.6568,0.0332,7.8730,0.68599,0.77701
streams,2,4.6531,0.0422,8.9683,0.31522,0.93660
streams,3,7.5229,0.0683,9.4625,0.31555,1.00192
streams,4,7.2771,0.0660,10.3130,0.36837,1.00104
streams,5,5.7341,0.0520,10.7639,0.34726,1.00146
streams,6,6.1169,0.0555,11.3752,0.42460,1.00209
streams,7,6.0923,0.0553,12.1421,0.52095,1.00331
streams,8,6.3567,0.0577,12.7708,0.59910,1.00481
streams,9,6.6066,0.0599,13.3550,0.67143,1.00763
streams,10,7.0864,0.0643,13.7948,0.72748,1.01155
streams,12,7.3630,0.0668,14.4406,0.81319,1.02123
streams,14,7.7914,0.0707,14.7716,0.85534,1.02770
streams,16,9.2053,0.0835,23.8122,0.87977,1.05431
streams,17,29.7041,0.2695,8.6662,0.30699,1.00101
streams,18,86.5800,0.7856,8.5079,0.87072,1.00075
streams,19,59.9955,0.5444,10.2308,0.77684,1.00308
streams,20,72.1349,0.6545,9.2314,0.79307,1.00159
streams,24,81.9459,0.7435,8.7412,0.85953,1.00098
streams,32,85.7397,0.7780,8.6759,0.89953,1.00113
cold_header,kind,stride,n,bus_per_stream,bus_lines_extra_vs_n1,llmiss_per_stream,l2r,l3r
cold,load,1,1,13.531,0.000,1.023,1.609,1.023
cold,load,1,2,28.312,0.848,2.758,2.375,2.758
cold,load,1,3,42.031,1.562,4.500,2.664,4.500
cold,load,1,4,122.000,10.559,14.055,5.141,14.055
cold,load,1,6,170.688,14.645,20.008,7.062,20.008
cold,load,1,8,210.094,17.570,24.797,9.125,24.797
cold,load,1,12,224.219,15.336,26.484,11.539,26.484
cold,load,1,16,241.844,13.539,27.516,15.805,27.516
cold,load,1,24,396.625,24.887,47.008,15.031,47.008
cold,load,1,32,546.906,35.672,64.844,25.172,64.844
cold,load,1,48,713.625,40.512,86.828,32.031,86.828
cold,load,1,64,836.516,39.873,101.281,32.133,101.281
cold,load,1,96,1100.750,40.902,133.766,47.094,133.766
cold,load,1,128,1351.625,40.262,164.336,71.039,164.336
cold,load,1,192,1856.125,39.324,227.711,132.477,227.711
cold,load,1,256,2375.320,40.224,291.125,190.414,291.125
cold,load,2,1,15.375,0.000,1.023,1.875,1.023
cold,load,2,2,27.656,0.535,2.711,2.359,2.711
cold,load,2,3,42.250,1.359,4.391,2.672,4.391
cold,load,2,4,78.531,4.895,8.711,5.094,8.711
cold,load,2,6,119.312,7.992,13.828,6.648,13.828
