kind,a,b,c,d,e,f,g,h
instr_header,name,kind,cycles_per_instr,retired_per_instr
instr,"add x,x,x",latency,1.0002,1.1251
instr,"add x,x,x",throughput,0.3545,1.1251
instr,"mul x,x,x",latency,4.0627,1.1251
instr,"mul x,x,x",throughput,3.0002,1.1251
instr,"madd x,x,x,x",latency (accumulator),4.0627,1.1251
instr,"madd x,x,x,x",throughput,3.0002,1.1251
instr,"sdiv x,x,x (divide by 1)",latency,5.0002,1.1251
instr,"sdiv x,x,x (0x7fff.. / 3)",throughput,20.0002,1.1251
window,store_l1,130,374.276,138.004,284.544,163.018
window,store_l1,132,376.985,140.004,283.715,165.414
window,store_l1,134,379.898,142.004,287.872,167.895
window,store_l1,136,381.014,144.004,284.905,170.345
window,store_l1,138,385.249,146.004,290.293,173.016
window,store_l1,140,386.596,148.004,288.096,175.382
window,store_l1,142,389.531,150.004,291.945,177.993
window,store_l1,144,390.070,152.004,288.480,180.153
window,store_l1,160,410.235,168.004,298.311,200.299
window,store_l1,176,431.616,184.004,309.871,220.020
window,store_l1,192,453.276,200.004,319.604,240.236
window,store_l1,224,495.853,232.004,341.349,280.298
window,store_l1,256,534.813,264.004,358.489,320.310
window,store_l1,320,615.622,328.004,397.039,400.291
window,store_l1,384,698.181,392.004,436.164,480.189
window,store_l1,448,805.222,456.004,500.075,560.320
window,store_l1,512,884.100,520.004,538.169,640.026
window_jump,store_l1,4,8,13.84,13,16
window_jump,store_l1,8,12,16.49,17,20
window_jump,store_l1,12,16,16.64,21,24
window_jump,store_l1,20,24,34.62,29,32
window_jump,store_l1,40,42,89.16,49,50
window_jump,store_l1,42,44,9.58,51,52
window_jump,store_l1,60,62,2.62,69,70
window_jump,store_l1,384,448,20.76,393,456
